Date,All Items,All_item_adjusted,Food,Food_adjusted,Month-on (%),Year-on (%)
1/31/2017,215.7,215.7,221.4,221.4,1,18.72
2/28/2017,218.9,218.9,225.8,225.8,1.5,17.78
3/31/2017,222.7,222.7,230.8,230.8,1.7,17.26
4/30/2017,226.3,226.3,235.5,235.5,1.6,17.24
5/31/2017,230.5,230.5,241.5,241.5,1.9,16.25
6/30/2017,234.2,234.2,246.3,246.3,1.6,16.1
7/31/2017,237,237,250,250,1.2,16.05
8/31/2017,239.3,239.3,252.9,252.9,1,16.01
9/30/2017,241.2,241.2,255.1,255.1,0.8,15.98
10/31/2017,243,243,257.2,257.2,0.8,15.91
11/30/2017,244.9,244.9,259.5,259.5,0.8,15.9
12/31/2017,246.4,246.4,261,261,0.6,15.37
1/31/2018,248.4,248.4,263.3,263.3,0.8,15.13
2/28/2018,250.3,250.3,265.5,265.5,0.8,14.33
3/31/2018,252.4,252.4,267.9,267.9,0.8,13.34
4/30/2018,254.5,254.5,270.4,270.4,0.8,12.48
5/31/2018,257.3,257.3,273.9,273.9,1.1,11.61
6/30/2018,260.5,260.5,278.2,278.2,1.2,11.23
7/31/2018,263.4,263.4,282.2,282.2,1.1,11.14
8/31/2018,266.2,266.2,286.2,286.2,1,11.23
9/30/2018,268.4,268.4,289,289,0.8,11.28
10/31/2018,270.4,270.4,291.4,291.4,0.7,11.26
11/30/2018,272.6,272.6,294,294,0.8,11.28
12/31/2018,274.6,274.6,296.4,296.4,0.7,11.44
1/31/2019,276.6,276.6,298.9,298.9,0.7,11.37
2/28/2019,278.6,278.6,301.3,301.3,0.7,11.31
3/31/2019,280.8,280.8,303.9,303.9,0.8,11.25
4/30/2019,283.5,283.5,307.4,307.4,0.9,11.37
5/31/2019,286.6,286.6,311.7,311.7,1.1,11.4
6/30/2019,289.7,289.7,316,316,1.1,11.22
7/31/2019,292.6,292.6,319.9,319.9,1,11.08
8/31/2019,295.5,295.5,323.9,323.9,1,11.02
9/30/2019,298.6,298.6,328.1,328.1,1,11.24
10/31/2019,301.8,301.8,332.4,332.4,1.1,11.61
11/30/2019,304.9,304.9,336.6,336.6,1,11.85
12/31/2019,307.5,307.5,339.9,339.9,0.9,11.98
1/31/2020,310.2,310.2,343.2,343.2,0.9,12.13
2/29/2020,312.6,312.6,346.2,346.2,0.8,12.2
3/31/2020,315.2,315.2,349.5,349.5,0.8,12.26
4/30/2020,318.4,318.4,353.6,353.6,1,12.34
5/31/2020,322.2,322.2,358.6,358.6,1.2,12.4
6/30/2020,326.1,326.1,363.9,363.9,1.2,12.56
7/31/2020,330.1,330.1,369.5,369.5,1.2,12.82
8/31/2020,334.6,334.6,375.7,375.7,1.3,13.22
9/30/2020,339.5,339.5,382.7,382.7,1.5,13.71
10/31/2020,344.7,344.7,390.2,390.2,1.5,14.23
11/30/2020,350.3,350.3,398.2,398.2,1.6,14.89
12/31/2020,355.9,355.9,406.4,406.4,1.6,15.75
1/31/2021,361.2,361.2,413.8,413.8,1.5,16.47
2/28/2021,366.8,366.8,421.6,421.6,1.5,17.33
3/31/2021,372.5,372.5,429.7,429.7,1.6,18.17
4/30/2021,376.1,376.1,433.9,433.9,1,18.12
5/31/2021,379.9,379.9,438.5,438.5,1,17.93
6/30/2021,384,384,443.4,443.4,1.1,17.75
7/31/2021,387.5,387.5,447.2,447.2,0.9,17.38
8/31/2021,391.5,391.5,451.9,451.9,1,17.01
9/30/2021,396,396,457.6,457.6,1.1,16.63
10/31/2021,399.9,399.9,461.8,461.8,1,15.99
11/30/2021,404.2,404.2,466.7,466.7,1.1,15.4
12/31/2021,411.5,411.5,477,477,1.8,15.63
1/31/2022,417.6,417.6,484.7,484.7,1.5,15.6
2/28/2022,424.4,424.4,493.8,493.8,1.6,15.7
3/31/2022,431.8,431.8,503.6,503.6,1.7,15.92
4/30/2022,439.4,439.4,513.6,513.6,1.76,16.82
5/31/2022,447.2,447.2,524,524,1.78,17.71
6/30/2022,455.4,455.4,534.7,534.7,1.82,18.6
7/31/2022,463.6,463.6,545.6,545.6,1.82,19.64
8/31/2022,471.8,471.8,556.4,556.4,1.77,20.52
9/30/2022,478.2,478.2,564.4,564.4,1.36,20.77
10/31/2022,484.2,484.2,571.3,571.3,1.24,21.09
11/30/2022,490.9,490.9,579.3,579.3,1.39,21.47
12/31/2022,499.4,499.4,590.2,590.2,1.71,21.34
1/31/2023,508.7,508.7,602.5,602.5,1.87,21.82
2/28/2023,517.4,517.4,614,614,1.71,21.91
3/31/2023,527,527,626.7,626.7,1.86,22.04
4/30/2023,537,537,640,640,1.91,22.22
5/31/2023,547.5,547.5,654.1,654.1,1.94,22.41
6/30/2023,559.1,559.1,669.7,669.7,2.13,22.79
7/31/2023,575.3,575.3,692.9,692.9,2.89,24.08
8/31/2023,593.6,593.6,719.7,719.7,3.18,25.8
9/30/2023,606,606,737.3,737.3,2.1,26.72
10/31/2023,616.5,616.5,751.4,751.4,1.73,27.33
11/30/2023,629.4,629.4,769.6,769.6,2.09,28.2
12/31/2023,643.8,643.8,790.5,790.5,2.29,28.92
1/31/2024,660.8,660.8,815.9,815.9,2.64,29.9
2/29/2024,681.4,681.4,846.8,846.8,3.12,31.7
3/31/2024,701.9,701.9,877.5,877.5,3.02,33.2
4/30/2024,718,718,899.5,899.5,2.29,33.69
5/31/2024,733.4,733.4,920,920,2.14,33.95
6/30/2024,750.3,750.3,943.5,943.5,2.31,34.19
7/31/2024,767.4,767.4,966.8,966.8,2.28,33.4
8/31/2024,784.4,784.4,989.7,989.7,2.22,32.15
9/30/2024,804.1,804.1,"1,015.80","1,015.80",2.52,32.7
10/31/2024,825.4,825.4,"1,045.60","1,045.60",2.64,33.88
11/30/2024,847.1,847.1,"1,076.80","1,076.80",2.64,34.6
12/31/2024,867.8,867.8,"1,105.50","1,105.50",2.44,34.8
1/31/2025,110.7,843.35,110.3,"1,057.36",-2.8,27.6
2/28/2025,112.9,860.11,112.2,"1,075.57",2.04,26.27
3/31/2025,117.3,893.63,114.6,"1,098.58",3.9,27.35
4/30/2025,119.5,910.39,117,"1,121.59",1.86,26.82
5/31/2025,121.4,924.86,119.5,"1,145.55",1.53,26.06
6/30/2025,123.4,940.1,123.4,"1,182.94",1.68,25.29
7/31/2025,125.9,959.14,127.3,"1,220.32",1.99,24.94
8/31/2025,126.8,966,129.4,"1,240.45",0.74,23.14
9/30/2025,127.7,972.86,127.3,"1,220.32",0.72,20.98
10/31/2025,128.9,982,126.9,"1,216.49",0.93,18.97
11/30/2025,130.5,994.19,128.3,"1,229.91",1.22,17.33
12/31/2025,131.2,999.52,127.8,"1,225.12",0.54,15.15
1/31/2026,127.4,970.57,120.1,"1,151.30",-2.88,15.1